Acesso Soluções De Pagamento S.A.,332,13140088
Advanced Corretora De Câmbio Ltda,117,92856905
Avista S.A. Crédito,280,23862762
Agk Corretora De Cambio S.A.,272,250699
Al5 S.A. Crédito,349,27214112
Amazónia Corretora De Câmbio Ltda.,313,16927221
"Ativa Investimentos S.A. Corretora De Títulos, Câmbio E Valores",188,33775974
B&T Corretora De Cambio Ltda.,80,73622748
Banco Abc Brasil S.A.,246,28195667
Banco Abn Amro S.A.,75,3532415
Banco Agibank S.A.,121,10664513
Banco Alfa S.A.,25,3323840
Banco Andbank (Brasil) S.A.,65,48795256
Banco Arbi S.A.,213,54403563
Banco B3 S.A.,96,997185
Banco Bandepe S.A.,24,10866788
Banco Bari De Investimentos E Financiamentos S.A.,330,556603
Banco BMG S.A.,318,61186680
Banco Bnp Paribas Brasil S.A.,752,1522368
Banco Bocom Bbm S.A.,107,15114366
Banco Bradescard S.A.,63,4184779
[Banco Bradesco BBI S.A.}(https://wise.com/br/codigo-do-banco/bradesco-bbi),36,6271464
Banco Bradesco Berj S.A.,122,33147315
Banco Bradesco Financiamentos S.A.,394,7207996
Banco Bradesco S.A.,237,60746948
Banco Bs2 S.A.,218,71027866
Banco BTG Pactual S.A.,208,30306294
Banco C6 Consignado S.A.,626,61348538
Banco C6 S.A.,336,31872495
Banco Caixa Geral - Brasil S.A.,473,33466988
Banco Capital S.A.,412,15173776
Banco Cargill S.A.,40,3609817
Banco Cedula S.A.,266,33132044
Banco Cetelem S.A.,739,558456
Banco Cetelem S.A.,233,62421979
Banco Citibank S.A.,745,33479023
Banco Classico S.A.,241,31597552
Banco Cooperativo Do Brasil S.A. - Bancoob - Sicoob,756,2038232
Banco Cooperativo Sicredi S.A.,748,1181521
Banco Crédit Agricole Brasil S.A.,222,75647891
Banco Credit Suisse (Brasil) S.A.,505,32062580
Banco Crefisa S.A.,69,61033106
Banco CSF S.A.,368,8357240
Banco da Amazonia S.A.,3,4902979
Banco da China Brasil S.A.,83,10690848
Banco Daycoval S.A.,707,62232889
Banco De La Nacion Argentina,300,33042151
Banco De La Provincia De Buenos Aires,495,44189447
Banco Digimais S.A.,654,92874270
Banco Digio S.A.,335,27098060
Banco do Brasil S.A.,1,0
Banco Do Estado De Sergipe S.A.,47,13009717
Banco Do Estado Do Pará S.A.,37,4913711
Banco Do Estado Do Rio Grande Do Sul S.A.,41,92702067
Banco Do Nordeste Do Brasil S.A.,4,7237373
Banco Fator S.A.,265,33644196
Banco Fibra S.A.,224,58616418
Banco Finaxis S.A.,94,11758741
Banco Gm S.A.,390,59274605
Banco Guanabara S.A.,612,31880826
Banco HSBC S.A.,269,53518684
Banco Inbursa S.A.,12,4866275
Banco Industrial Do Brasil S.A.,604,31895683
Banco Indusval S.A.,653,61024352
Banco Inter S.A.,77,416968
Banco Investcred Unibanco S.A.,249,61182408
Banco Itaú BBA S.A.,184,17298092
Banco Itaú Consignado S.A.,29,33885724
Banco Itaubank S.A.,479,60394079
Banco J. Safra S.A.,74,3017677
Banco J.P. Morgan S.A.,376,33172537
Banco John Deere S.A.,217,91884981
Banco Kdb Do Brasil S.A.,76,7656500
Banco Keb Hana Do Brasil S.A.,757,2318507
Banco Luso Brasileiro S.A.,600,59118133
Banco Máxima S.A.,243,33923798
Banco Mercantil do Brasil S.A.,389,17184037
Banco Mercedes-Benz Do Brasil S.A.,381,60814191
Banco Mizuho Do Brasil S.A.,370,61088183
Banco Modal S.A.,746,30723886
Banco Morgan Stanley S.A.,66,2801938
Banco Mufg Brasil S.A.,456,60498557
Banco Nacional De Desenvolvimento Economico E Social,7,33657248
Banco Olé Consignado S.A.,169,71371686
Banco Original Do Agronegócio S.A.,79,9516419
Banco Original S.A.,212,92894922
Banco Ourinvest S.A.,712,78632767
Banco Pan S.A.,623,59285411
Banco Paulista S.A.,611,61820817
Banco Pine S.A.,643,62144175
Banco Rabobank International Brasil S.A.,747,1023570
Banco Randon S.A.,88,11476673
Banco Rendimento S.A.,633,68900810
Banco Ribeirao Preto S.A.,741,517645
Banco Rodobens S.A.,120,33603457
Banco Safra S.A.,422,58160789
Banco Santander (Brasil) S.A.,33,90400888
Banco Semear S.A.,743,795423
Banco Sistema S.A.,754,76543115
Banco Smartbank S.A.,630,58497702
Banco Societe Generale Brasil S.A.,366,61533584
Banco Sofisa S.A.,637,60889128
Banco Sumitomo Mitsui Brasileiro S.A.,464,60518222
Banco Topázio S.A.,82,7679404
Banco Toyota Do Brasil S.A.,387,3215790
Banco Triangulo S.A.,634,17351180
Banco Tricury S.A.,18,57839805
Banco Volkswagen S.A.,393,59109165
Banco Votorantim S.A.,655,59588111
Banco Vr S.A.,610,78626983
Banco Western Union Do Brasil S.A.,119,13720915
Banco Woori Bank Do Brasil S.A.,124,15357060
Banco Xp S.A.,348,33264668
Bancoseguro S.A.,81,10264663
Banestes S.A. Banco Do Estado do Espirito Santo,21,28127603
Bank of America Merrill Lynch Banco Múltiplo S.A.,755,62073200
Bari Companhia Hipotecária,268,14511781
Bbc Leasing S.A. - Arrendamento Mercantil,378,1852137
Bcv - Banco De Crédito E Varejo S.A.,250,50585090
Bexs Banco De Câmbio S/A,144,13059145
Bexs Corretora De Câmbio S/A,253,52937216
Bgc Liquidez Distribuidora De Títulos E Valores Mobiliários Ltda,134,33862244
Bny Mellon Banco S.A.,17,42272526
Bónuscred Sociedade De Crédito Direto S.A.,408,36586946
Bpp Instituição De Pagamento S.A.,301,13370835
Br Partners Banco De Investimento S.A.,126,13220493
BrB - Banco De Brasilia S.A.,70,208
Brk S.A. Crédito,92,12865507
Brl Trust Distribuidora De Títulos E Valores Mobiliários S.A.,173,13486793
Broker Brasil Corretora De Câmbio Ltda.,142,16944141
Bs2 Distribuidora De Títulos E Valores Mobiliários S.A.,292,28650236
Caixa Economica Federal,104,360305
Cambionet Corretora De Câmbio Ltda.,309,14190547
Carol Distribuidora De Titulos E Valores Mobiliarios Ltda.,288,62237649
Cartos Sociedade De Crédito Direto S.A.,324,21332862
Caruana S.A. - Sociedade De Crédito,130,9313766
Casa Do Crédito S.A. Sociedade De Crédito Ao Microempreendedor,159,5442029
Central Cooperativa De Crédito No Estado Do Espírito Santo - Cecoop,114,5790149
Central De Cooperativas De Economia E Crédito Mútuo Do Estado Do Rio Grande Do S,91,1634601
China Construction Bank (Brasil) Banco Múltiplo S.A.,320,7450604
Cielo S.A.,362,1027058
Citibank N.A.,477,33042953
"Cm Capital Markets Corretora De Câmbio, Títulos E Valores Mobiliários Ltda",180,2685483
Codepe Corretora De Valores E Câmbio S.A.,127,9512542
Commerzbank Brasil S.A. - Banco Múltiplo,163,23522214
Banco Cresol - Confederação Nacional Das Cooperativas Centrais De Crédito e Economia Familiar e Solidária,133,10398952
Unicred Do Brasil - Confederação Nacional Das Cooperativas Centrais Unicred Ltda.,136,315557
Confidence Corretora De Câmbio S.A.,60,4913129
Cooperativa Central De Crédito - Ailos,85,5463212
Cooperativa de Crédito Mutuo dos Despachantes de Trânsito de Santa Catarina e Rio Grande do Sul,16,4715685
Cooperativa De Crédito Rural Coopavel,281,76461557
Cooperativa De Crédito Rural De Abelardo Luz - Sulcredi/Crediluz,322,1073966
Cooperativa De Credito Rural De Ibiam - Sulcredi/Ibiam,391,8240446
Cooperativa De Crédito Rural De Ouro Sulcredi/Ouro,286,7853842
Cooperativa De Credito Rural De Primavera Do Leste,279,26563270
Cooperativa De Crédito Rural De São Miguel Do Oeste - Sulcredi/São Miguel,273,8253539
Cora Sociedade De Crédito Direto S.A.,403,37880206
Credialiança Cooperativa De Crédito Rural,98,78157146
Credicoamo Credito Rural Cooperativa,10,81723108
Credisan Cooperativa De Crédito,89,62109566
Credisis - Central De Cooperativas De Crédito Ltda.,97,4632856
Credit Suisse Hedging-Griffo Corretora De Valores S.A,11,61809182
Creditas Sociedade De Crédito Direto S.A.,342,32997490
Crefaz Sociedade De Crédito Ao Microempreendedor E A Empresa De Pequeno Porte Lt,321,18188384
Decyseo Corretora De Cambio Ltda.,289,94968518
Deutsche Bank S.A. - Banco Alemao,487,62331228
Easynvest - Título Corretora De Valores Sa,140,62169875
Facta Financeira S.A. - Crédito Financiamento e Investimento,149,15581638
Fair Corretora De Cambio S.A.,196,32648370
Ffa Sociedade De Crédito Ao Microempreendedor E À Empresa De Pequeno Porte Ltda.,343,24537861
Fram Capital Distribuidora De Títulos E Valores Mobiliários S.A.,331,13673855
Frente Corretora De Câmbio Ltda.,285,71677850
Genial Investimentos Corretora De Valores Mobiliários S.A.,278,27652684
Gerencianet S.A.,364,9089356
Get Money Corretora De Câmbio S.A.,138,10853017
Global Financas - Sociedade De Credito Ao Microempreendedor E A Empresa De Pequeno Porte Ltda,384,11165756
Goldman Sachs Do Brasil Banco Multiplo S.A.,64,4332281
Guide Investimentos S.A. Corretora De Valores,177,65913436
Guitta Corretora De Cambio Ltda.,146,24074692
Haitong Banco De Investimento Do Brasil S.A.,78,34111187
Hipercard Banco Múltiplo S.A.,62,3012230
HS Financeira S/A Credito,189,7512441
Hub Pagamentos S.A,396,13884775
"Ib Corretora De Câmbio, Títulos E Valores Mobiliários S.A.",271,27842177
Icap Do Brasil Corretora De Títulos E Valores Mobiliários Ltda.,157,9105360
Icbc Do Brasil Banco Múltiplo S.A.,132,17453575
Ing Bank N.V.,492,49336860
Intesa Sanpaolo Brasil S.A. - Banco Múltiplo,139,55230916
Itaú Unibanco Holding S.A.,652,60872504
Itaú Unibanco S.A.,341,60701190
Jpmorgan Chase Bank,488,46518205
Kirton Bank S.A. - Banco Múltiplo,399,1701201
Lastro Rdv Distribuidora De Títulos E Valores Mobiliários Ltda.,293,71590442
Lecca Crédito,105,7652226
